,timestamp,recorder,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,rms,spectral_centroid,zero_crossing_rate
0,1617181929998,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
1,1617181924965,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
2,1617181919967,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
3,1617181914923,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
4,1617181909925,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
5,1617181904912,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
6,1617181899902,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
7,1617181894884,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
8,1617181889871,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
9,1617181884868,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
10,1617181879862,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
11,1617181874835,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
12,1617181869816,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
13,1617181864829,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
14,1617181859832,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
15,1617181854789,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
16,1617181849776,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
17,1617181844767,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
18,1617181839763,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
19,1617181834766,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
20,1617181829753,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
21,1617181824751,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
22,1617181819701,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
23,1617181814724,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
24,1617181809661,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
25,1617181804675,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
26,1617181799658,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
27,1617181794684,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
28,1617181789649,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
29,1617181784625,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
30,1617181779635,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
31,1617181774613,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
32,1617181769605,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
33,1617181764579,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
34,1617181759590,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
35,1617181754576,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
36,1617181749548,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
37,1617181744559,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
38,1617181739534,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
39,1617181734548,TARGETDEV-z4jb1u,-479.43658,9.9992485,9.996989,9.993223,9.987956,9.981182,9.972903,9.963124,9.951846,9.93907,9.924794,9.909027,9.891767,9.873014,9.852778,9.831055,9.807851,9.783174,9.757021,9.7294,1.0,5.208333488567204,0.0
